,Period,Abs1,TeachingYear,M/NM,Quarter ,Days,absent_ratio,Race_Asian,Race_Black/African American,Race_Hispanic,Race_Native Hawaiian/Other Pacific Islander,Race_Two or More,Race_White,Zip_52145,Zip_97005,Zip_97013,Zip_97015,Zip_97027,Zip_97030,Zip_97067,Zip_97086,Zip_97201,Zip_97202,Zip_97203,Zip_97206,Zip_97208,Zip_97209,Zip_97211,Zip_97212,Zip_97213,Zip_97214,Zip_97215,Zip_97216,Zip_97217,Zip_97218,Zip_97219,Zip_97220,Zip_97222,Zip_97223,Zip_97232,Zip_97233,Zip_97236,Zip_97239,Zip_97240,Zip_97266,Zip_97267,Zip_97282,Zip_97286,Zip_97290,Zip_97294,Course_A: Functions/Linear Equations Q1,Course_A: Functions/Linear Equations Q2,Course_Advisory,Course_B: Prob & Statistics,Course_C: Survey of Functions Q1,Course_C: Survey of Functions Q2,Course_D: Math Properties & Proofs Q3,Course_D: Math Properties & Proofs Q4,Course_Data Science and Society,Course_EC: Race/Cultural Stud,Course_G: Analytical Geometry Q1,Course_G: Analytical Geometry Q2,Course_GV: Race & Cultural Studies,Course_H: Periodic Functions/Matrices Q3,Course_H: Periodic Functions/Matrices Q4,Course_HE: Urban Hiking,Course_LA: Creative Writing,Course_PE: Urban Hiking,Course_Personal Growth/Life Skills,Course_Technology 101,Course_Zines A,Course_Zines B,SY_2019-2020,SY_2020-2021,SY_2021-2022,SY_2022-2023
35,1,19,2,0,1,42,0.4523809523809524,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,1,39,2,0,4,43,0.9069767441860465,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,1,31,2,0,3,41,0.7560975609756098,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,1,9,1,0,3,41,0.21951219512195122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,1,33,3,0,1,45,0.7333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,1,6,3,0,2,40,0.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,1,11,1,0,2,41,0.2682926829268293,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,4,8,1,1,2,41,0.1951219512195122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,1,34,2,0,2,44,0.7727272727272727,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,8,35,2,1,2,44,0.7954545454545454,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
